Name	Type	Description	
Buyers Departament	Organizational Unit		
Directors Department	Organizational Unit		
Finance Departament	Organizational Unit		
IT Departament	Organizational Unit		
Logistic Departament	Organizational Unit		
Reclamation Departament	Organizational Unit		
Sales Departament	Organizational Unit		
Secretary Departament	Organizational Unit		
Service Departament	Organizational Unit		
Warehouse Departament	Organizational Unit		
